code,location,registred,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
576077,Albrechtice nad Orlicí,818,526,525,73,1,2,28,0,25,56,6,2,9,0,0,46,0,42,158,0,1,14,5,0,1,54,2
576085,Bačetín,326,230,226,21,0,0,12,1,8,14,3,3,5,0,2,15,3,9,64,1,2,23,1,0,0,36,3
576093,Bartošovice v Orlických horách,161,115,112,11,0,0,4,0,6,15,2,0,2,0,0,3,1,7,24,0,0,31,0,0,0,6,0
576107,Bílý Újezd,517,356,354,33,1,0,13,0,16,19,1,7,5,0,0,23,0,10,133,0,0,42,0,1,0,49,1
576115,Bohdašín,198,141,140,11,0,0,2,0,6,11,0,0,6,1,0,12,0,8,24,0,0,44,2,0,0,12,1
576123,Bolehošť,454,268,265,17,1,0,15,0,10,34,3,9,7,0,0,16,0,3,97,1,1,24,0,0,1,23,3
576131,Borohrádek,1 657,861,851,94,1,1,72,1,28,92,4,17,8,3,0,66,1,42,280,1,1,38,2,2,1,92,4
576140,Borovnice,315,175,175,25,1,2,14,0,1,22,5,0,2,0,0,14,0,5,50,0,2,15,0,0,0,17,0
576166,Bystré,206,162,161,18,0,0,7,0,6,21,1,2,2,0,0,15,0,24,41,0,0,14,0,1,1,8,0
576174,Byzhradec,173,103,102,17,0,0,2,0,5,2,3,1,1,0,0,11,0,7,36,0,0,10,0,0,1,6,0
576182,Častolovice,1 302,798,793,86,3,0,46,0,16,92,13,7,7,0,1,71,1,52,265,0,3,45,2,1,1,76,5
576191,Čermná nad Orlicí,809,543,540,36,2,0,34,0,34,83,4,3,5,0,0,40,0,14,174,1,1,16,4,0,3,86,0
576204,Černíkovice,583,372,372,35,0,0,23,0,22,21,4,7,3,1,0,28,0,10,147,2,0,30,5,0,1,33,0
576212,České Meziříčí,1 435,856,849,74,1,1,53,1,96,60,15,6,13,2,1,76,2,33,249,12,2,63,3,1,1,82,2
576221,Čestice,460,288,288,24,0,0,22,0,9,37,8,2,9,0,0,30,0,12,94,0,0,8,0,0,0,33,0
576247,Deštné v Orlických horách,521,369,364,79,7,0,17,0,18,17,2,3,3,0,0,48,0,31,74,0,1,31,2,0,0,28,3
576263,Dobré,688,484,483,39,1,0,29,0,15,26,6,6,13,3,2,32,1,13,178,1,0,61,2,0,2,53,0
576271,Dobruška,5 476,3 629,3 599,315,5,2,231,2,123,274,26,39,67,3,2,376,3,213,1 191,2,11,382,28,2,8,288,6
576280,Dobřany,97,71,70,10,0,0,7,0,0,2,2,0,0,0,0,3,1,6,29,0,0,7,0,0,0,3,0
576301,Doudleby nad Orlicí,1 534,959,958,95,5,1,70,5,35,71,6,10,17,0,0,80,1,27,332,2,5,38,1,3,4,146,4
548642,Hřibiny-Ledská,274,176,174,19,0,0,13,0,7,20,1,1,2,1,0,19,0,5,54,0,3,11,1,2,0,14,1
576310,Chleny,189,130,130,15,0,0,5,0,8,15,4,2,1,1,1,18,0,2,34,0,0,17,1,0,0,6,0
548791,Chlístov,74,58,58,4,0,0,7,0,2,4,2,0,0,0,0,2,0,4,13,0,0,10,0,0,0,10,0
548782,Jahodov,82,57,54,8,0,0,5,0,3,9,0,0,2,0,1,5,0,1,11,0,0,1,0,0,1,7,0
576328,Janov,93,73,72,2,0,0,3,0,0,6,2,1,0,0,0,2,1,5,11,0,0,29,0,0,0,9,1
576336,Javornice,808,568,562,74,0,1,42,0,23,31,8,4,12,0,0,71,0,15,205,0,6,27,0,0,0,42,1
576361,Kostelec nad Orlicí,4 977,3 130,3 089,427,3,2,215,2,90,215,31,25,51,2,6,334,4,137,982,3,17,135,16,6,3,373,10
576387,Kostelecké Horky,123,81,80,2,0,0,9,0,6,1,5,2,0,0,1,13,0,0,19,0,0,11,0,0,0,11,0
576395,Kounov,195,141,138,12,0,0,5,0,10,5,1,0,1,1,0,14,0,6,47,0,0,21,0,0,1,14,0
576409,Králova Lhota,179,127,126,9,0,0,9,0,7,9,1,1,5,0,1,18,0,3,40,0,0,8,0,0,1,14,0
548685,Krchleby,70,50,50,1,0,0,9,0,3,3,1,1,0,0,0,4,0,1,18,0,0,7,0,0,0,2,0
576425,Kvasiny,1 093,681,673,52,0,0,48,1,11,35,15,2,8,2,0,44,2,23,287,2,3,46,4,3,2,81,2
576441,Lhoty u Potštejna,248,163,162,8,0,0,13,0,12,8,1,1,6,0,0,14,0,4,71,0,1,2,2,0,1,18,0
548651,Libel,115,77,76,15,0,0,5,0,3,6,0,0,1,0,0,3,0,1,22,0,0,2,0,0,1,16,1
576450,Liberk,568,346,340,14,0,0,24,0,22,22,2,9,6,0,1,33,0,7,119,0,1,20,0,0,1,59,0
576468,Lično,507,334,332,31,0,1,21,0,18,16,7,3,6,0,0,29,0,17,106,1,2,32,1,1,0,39,1
576476,Lípa nad Orlicí,439,273,271,23,0,0,24,0,7,29,2,4,3,0,0,40,0,15,83,0,0,10,1,0,0,28,2
576492,Lukavice,499,329,327,35,1,0,20,0,15,13,4,5,10,1,1,36,0,13,139,0,2,8,1,0,0,23,0
576506,Lupenice,214,152,152,41,1,0,14,0,0,8,1,2,1,0,0,6,0,2,43,0,0,4,2,0,0,27,0
576522,Mokré,126,77,77,6,0,0,7,0,1,6,1,0,3,0,0,8,0,1,35,0,0,3,0,0,0,6,0
576549,Nová Ves,154,114,114,15,0,0,10,0,6,11,1,0,0,0,0,13,0,2,28,0,0,2,5,0,2,17,2
576557,Očelice,191,130,130,7,0,0,17,0,3,10,1,1,0,0,0,16,0,5,47,0,1,14,0,0,2,6,0
576565,Ohnišov,406,288,285,25,1,0,12,0,15,24,3,3,1,0,1,19,0,10,108,0,1,29,2,1,3,26,1
576581,Olešnice,374,240,240,29,0,0,30,0,10,31,1,1,3,0,0,18,2,12,60,0,0,19,0,0,0,23,1
576573,Olešnice v Orlických horách,373,202,200,26,1,0,17,1,9,19,2,4,3,0,0,26,0,4,49,0,0,12,3,0,0,23,1
576590,Opočno,2 525,1 635,1 622,153,2,0,112,5,82,106,21,8,22,3,3,145,2,106,489,1,17,142,16,6,0,174,7
576603,Orlické Záhoří,175,100,99,5,0,0,6,0,5,16,4,3,0,0,0,24,0,4,23,1,1,4,0,0,0,3,0
576611,Osečnice,224,142,141,11,0,0,8,0,1,11,2,1,1,0,0,10,0,0,60,0,0,20,0,1,0,15,0
576620,Pěčín,401,222,222,15,0,2,13,0,16,15,2,4,1,0,0,20,0,7,76,0,1,13,0,0,1,36,0
576654,Podbřezí,414,313,306,18,3,0,12,0,8,9,4,5,4,0,1,36,0,11,88,1,0,80,1,0,0,25,0
576662,Pohoří,545,387,386,43,0,1,30,0,35,20,3,1,7,3,0,38,1,16,94,1,2,33,0,0,0,57,1
548723,Polom,109,74,74,9,0,0,4,0,3,10,1,0,1,0,0,9,0,4,23,1,1,5,1,0,0,1,1
576671,Potštejn,767,531,523,55,0,0,32,0,23,38,12,10,7,1,1,60,0,26,152,1,0,31,3,1,1,67,2
548758,Proruby,40,31,31,2,0,0,6,0,0,2,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,1,0
576689,Přepychy,516,303,298,38,0,0,27,1,10,26,1,5,0,0,0,19,0,4,76,0,2,45,1,1,0,42,0
548669,Rohenice,219,135,134,11,0,0,9,0,11,9,2,0,0,0,0,11,0,4,42,0,0,15,1,0,1,16,2
576701,Rokytnice v Orlických horách,1 688,879,877,103,3,0,81,1,55,62,14,12,7,0,2,91,3,36,224,0,3,67,3,1,2,103,4
576727,Rybná nad Zdobnicí,347,242,240,18,1,1,8,0,8,26,5,6,0,1,0,23,0,7,69,0,2,20,0,0,3,42,0
576069,Rychnov nad Kněžnou,8 782,5 365,5 331,706,7,2,342,3,246,445,76,36,117,5,5,534,7,197,1 648,7,11,327,18,5,10,560,17
576735,Říčky v Orlických horách,93,66,64,18,1,0,3,0,3,2,0,1,3,0,0,8,0,0,11,1,2,6,0,2,0,3,0
576743,Sedloňov,195,121,121,5,1,1,2,0,5,11,2,2,3,0,0,10,0,17,37,0,0,6,1,0,0,18,0
576751,Semechnice,333,240,239,36,0,0,17,0,16,9,5,1,4,0,0,22,0,7,82,0,0,15,1,0,3,21,0
576778,Skuhrov nad Bělou,882,592,586,34,0,0,33,0,22,45,11,7,11,1,0,46,0,28,224,0,4,51,3,1,1,61,3
576786,Slatina nad Zdobnicí,678,430,425,40,0,0,28,0,24,37,12,8,2,1,0,38,1,7,145,0,1,27,1,1,1,49,2
576794,Sněžné,108,82,81,10,0,0,7,0,3,2,0,1,0,0,0,4,0,5,28,1,1,13,0,0,0,6,0
576808,Solnice,1 715,1 054,1 050,115,2,1,60,1,39,62,9,11,20,1,0,78,0,27,447,0,1,65,2,1,2,104,2
548693,Svídnice,141,88,87,4,0,0,1,0,4,6,2,0,1,0,0,7,0,9,36,0,0,7,0,0,0,10,0
576816,Synkov-Slemeno,308,192,192,12,1,0,4,0,9,17,0,3,3,0,0,24,0,7,62,0,1,15,1,1,2,30,0
576824,Trnov,599,399,399,31,0,1,23,0,29,33,2,4,10,0,0,36,0,16,123,0,0,52,3,0,0,34,2
576832,Třebešov,209,150,150,24,0,0,6,0,4,17,1,0,1,0,0,13,0,3,43,0,1,13,0,1,1,22,0
576841,Tutleky,289,197,197,30,0,0,6,0,6,26,3,5,2,0,0,18,0,3,64,0,2,9,0,0,1,22,0
576859,Týniště nad Orlicí,4 897,2 949,2 925,249,10,6,208,2,111,343,28,23,45,3,4,302,4,151,878,3,7,139,40,3,7,324,35
576875,Val,240,169,169,8,0,0,2,0,1,8,2,1,5,0,0,17,0,6,68,0,0,36,0,0,0,15,0
576883,Vamberk,3 681,2 184,2 164,228,11,5,145,2,79,185,25,27,34,0,0,188,1,63,723,3,9,92,17,0,5,317,5
576891,Voděrady,568,396,392,52,0,0,23,0,23,34,2,5,3,1,1,38,0,15,114,0,0,33,1,0,1,42,4
548707,Vrbice,120,89,88,12,0,0,6,0,10,1,0,4,0,1,0,5,0,6,13,1,0,19,2,0,0,8,0
576921,Záměl,523,344,340,32,0,0,22,1,20,33,6,4,7,0,0,43,1,9,115,1,2,13,1,0,0,27,3
576930,Zdelov,200,131,131,9,1,1,9,0,3,12,1,0,8,0,0,13,0,10,34,0,0,1,1,0,1,27,0
576948,Zdobnice,154,100,100,14,1,0,0,0,3,4,6,1,3,3,0,13,0,1,25,0,0,9,0,0,4,12,1
576956,Žďár nad Orlicí,395,229,227,21,0,1,19,0,24,12,4,1,1,1,3,29,0,10,62,2,0,10,1,0,3,17,6
